Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
VTT & VTT à Assistance Électrique - La Tribu Rando de Seb,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,45.018186,6.632903999999999,Roubion Renaud Sébastien,05100#Névache,Mesures mises en place pour vous protéger : nettoyant à disposition - charlotte pour les casques - distanciation durant l'activité - materiel nettoyé devant vous au départ.,True,True,Office de tourisme des Hautes Vallées - La Grave - La Clarée - L'Izoard,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-06,#+33 4 92 21 34 63#info@latriburando.com#http://www.latriburando.com/de-seb.html,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Sébastien vous fait découvrir la nature sous toute ses formes et vous accompagne jusqu’au bout, dans vos projets de vacances actives.
Découvrez la montagne en VTT avec un moniteur diplômé au BE VTT.
Transport en minibus possible.",https://data.datatourisme.gouv.fr/13/55e48378-6c74-33f6-be25-c37b245cf5c0
Randonnée pédestre - La Tribu Rando de Seb,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,45.018186,6.632903999999999,Roubion Renaud Sébastien,05100#Névache,Mesures mises en place pour vous protéger : nettoyant à disposition  distanciation durant l'activité - matériel nettoyé devant vous au départ.,True,True,Office de tourisme des Hautes Vallées - La Grave - La Clarée - L'Izoard,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-02,#+33 4 92 21 34 63#info@latriburando.com#http://www.latriburando.com/de-seb.html,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Sébastien vous fait découvrir la nature sous toute ses formes ! BE. AEM.
Des randonnées à la découverte des trésors de la Vallée de la Clarée et de l'izoard. Sébastien vous accompagne jusqu’au bout, dans vos projets de vacances avec transports possible !",https://data.datatourisme.gouv.fr/13/97bd7d93-a9a4-3dc1-b6f2-6e47d595eb23
Bébés lecteurs,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.08593,7.595514,4 avenue Marius Barucchi Médiathèque départementale annexe,06430#Tende,Ces activités sont soumises aux conditions sanitaires en vigueurs.,True,True,"Office de Tourisme Menton, Riviera & Merveilles",Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-28,#+33 4 93 04 62 02##https://tende.mediatheque06.fr/,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Le rendez-vous autour des livres pour les tout-petits. 
Enfants de 0 à 3 ans, accompagnés d'un adulte.",https://data.datatourisme.gouv.fr/13/c762f32f-02c1-3435-ab13-29b0e5dbd95d
Café lectures,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,44.085888,7.595407000000001,4 avenue Marius Barucchi Médiathèque départementale annexe,06430#Tende,,True,True,"Office de Tourisme Menton, Riviera & Merveilles",Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-29,#+33 4 93 04 62 02#efigoni@departement06.fr#https://tende.mediatheque06.fr/,,"Un moment d'échange convivial autour d'un thé ou d'un café pour partager ses coups de coeur et découvertes littéraires.
Réservation conseillée. Adultes.",https://data.datatourisme.gouv.fr/13/34fe1875-cac3-3e13-9b1b-0251958b7fde
Magasin de sports Stella Alpina,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,44.089,7.5931,Rue Antoine Vassallo,06430#Tende,Le magasin respecte les mesures sanitaires en vigueur.,True,True,"Office de Tourisme Menton, Riviera & Merveilles",Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-08-30,#+33 4 93 04 66 34<>+33 6 38 34 41 50#lucfioretti@wanadoo.fr#,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Vente de vêtements et articles de sport, location de matériel pour la via ferrata",https://data.datatourisme.gouv.fr/13/9be66f1b-53a9-3190-b079-5c77124267de
Base Durance Nautique,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,44.104856,6.01335,7 rue de la Durance,04290#Volonne,,True,True,Office de Tourisme Provence Alpes Digne les Bains,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-09,#+33 6 81 32 72 76<>+33 6 95 75 48 89#durancenautique@yahoo.com#http://www.durancenautique.com/,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Venez découvrir les joies de la navigation avec Durance Nautique, base nautique à Volonne. Location de matériel et des stages pour toute la famille ! La base nautique propose la location et l'animation d'activités nautiques, avec une équipe diplômée.",https://data.datatourisme.gouv.fr/13/8d4a5c58-9edf-3f13-a6ca-8d56470fb381
Bike Trip,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product|https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest,43.77113,7.494522999999999,1 avenue Carnot,06500#Menton,,True,True,"Office de Tourisme Menton, Riviera & Merveilles",Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-26,#+33 4 92 10 99 98<>+33 6 88 06 13 62##,Accueil Vélo#France Vélo Tourisme,Locations et réparations de vélos,https://data.datatourisme.gouv.fr/13/534f96ca-811e-3785-9d55-88fcb7b52622
Verdon-e-Bike,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,43.778628999999995,6.339468,Les Gîtes,04120#La Palud-sur-Verdon,,True,True,Verdon Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-17,#+33 6 88 10 91 73##http://verdonebike.pagesperso-orange.fr/<>https://instagram.com/verdonebike?igshid=1silz1tjjjdwr,Accueil Vélo#France Vélo Tourisme,"Parcourez l'incontournable ""route des Crêtes"" à l'aide d'un vélo à assistance électrique avec Verdon-e-Bike. 2h30 de pur plaisir à la découverte de paysages grandioses, sans bruit, sans pollution, avec un effort modéré.",https://data.datatourisme.gouv.fr/13/0640ffbf-2a26-3553-b026-92048e53c93e
Le Mas des Vertes Rives,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#Accommodation|https://www.datatourisme.gouv.fr/ontology/core#AccommodationProduct|https://www.datatourisme.gouv.fr/ontology/core#Guesthouse|https://www.datatourisme.gouv.fr/ontology/core#House|https://www.datatourisme.gouv.fr/ontology/core#RentalAccommodation|https://www.datatourisme.gouv.fr/ontology/core#SelfCateringAccommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness|http://schema.org/Product|http://schema.org/BedAndBreakfast|http://schema.org/House,43.919909999999994,4.954855,244 chemin des hautures 244 chemin des Hautures,84470#Châteauneuf-de-Gadagne,,,,Gard Tourisme,Gard Tourisme,2019-05-07,Le Mas des Vertes Rives#+33 4 90 22 37 10#contact@mas-des-vertes-rives.com#http://www.mas-des-vertes-rives.com/,Bienvenue à la ferme#Bienvenue à la ferme|2 Clés#Clévacances,"Ferme en activité : maraîchage et élevage de volailles. Ambiance conviviale, familiale et internationale... Chambres lumineuses avec vue sur la campagne environnante, de style provençal. Connexion Internet WIFI. Produits de la ferme sur la table du petit-déjeuner et du soir. Cuisine provençale uniquement et sur réservation. Nous cultivons tous nos fruits et légumes, et concoctons les repas avec nos produits, jus de fruits, miels et confitures. A 800 m du village perché, à 20 min. d'Avignon et Fontaine-de-Vaucluse. Situation idéale pour rayonner dans le département de Vaucluse.",https://data.datatourisme.gouv.fr/47/20053116-a762-3e89-8878-79d1718632de
Tiki Bike Centre de Vélo du pays des Ecrins,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,44.839949,6.4946839999999995,Le Saint-Genest,05340#Vallouise-Pelvoux,,True,True,Office de Tourisme Intercommunal du Pays des Ecrins,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-12-07,#+33 6 10 69 01 28#tikibikevtt@gmail.com#http://www.tikibike.fr/,Engagé à respecter les protocoles sanitaires officiels Covid-19#DATAtourisme labels,"Sorties avec des moniteurs-guides expérimentés (protections et VTT adaptés)
Formules sur mesure: stages (2,3,4, 5 jours), demi journée, cours particuliers
Descente, Rando descendante, Enduro, Activités Enfants
Location VTT, VTT électrique, Vélo route",https://data.datatourisme.gouv.fr/13/4af09595-c98a-3220-915b-629331231a23
Général Bike Luberon,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,43.8834,5.34246,"289 avenue des lavandières ZA les moulins, le Chêne",84400#Gargas,,True,False,Office de Tourisme Intercommunal Pays d’Apt Luberon,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-02-14,#+33 4 90 71 48 61#contact@generalbike.fr#http://www.general-bike-luberon.fr/,Accueil Vélo#France Vélo Tourisme,"Magasin de vélos situé à 300m de la véloroute du Calavon ou green way (ancienne voie ferrée)
Activités: 
- Vente vélos et accessoires, nutrition sportive, 
- Réparation toutes marques, 
- Positionnement Body Geometry Fit By SPECIALIZED
- Location de vélos",https://data.datatourisme.gouv.fr/13/18de32ed-3bee-3a3d-91f7-d7745ce82da4
Luberon Biking,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,43.895897999999995,5.3059389999999995,D 104,84220#Roussillon,,True,False,Office de Tourisme Intercommunal Pays d’Apt Luberon,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-04-09,#+33 6 43 57 58 89#contact@luberon-biking.fr#http://www.luberon-biking.fr/,Accueil Vélo#France Vélo Tourisme,"Location de vélos de route (Carbone specialized sur réservation), VTT VTC City e bike remorque, vélos enfants, etc... Au départ du Conservatoire des Ocres, louez un vélo et partez à la découverte de ce territoire ocrier. Livraison à partir de 3 jours.",https://data.datatourisme.gouv.fr/13/a01ea4b4-0982-3f51-a076-ece50aa98b82
Nature Bike Provence,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,44.13706,4.8080989999999995,1 Rue de la République Sport Aventure,84100#Orange,,True,True,Vaucluse Provence Attractivité,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-21,#+33 4 90 34 75 08<>+33 6 10 33 56 54#sport-aventure@orange.fr#http://www.nature-bike-provence.com/,Accueil Vélo#France Vélo Tourisme,"La Provence de vos rêves... Louez, réservez ou demandez des conseils pour un séjour, randonnée ou circuit en vélo.
Nature Bike Provence vous accompagne dans tous vos projets vélo de A à Z, des services sur mesure pour tous.",https://data.datatourisme.gouv.fr/13/af5e1922-3020-3ed0-9c44-b0170ec5757a
Rent Bike Luberon,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,43.823868,5.307987000000001,"3, rue Marceau",84480#Bonnieux,,True,True,Office de Tourisme Intercommunal Pays d’Apt Luberon,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-10-02,#+33 6 09 82 78 36<>+33 7 78 68 34 94#rent.bike.luberon@gmail.com#http://www.rentbikescooterluberon.com/,Accueil Vélo#France Vélo Tourisme,"Location de vélos de grandes marques Giant et Moustache. Gamme de vélos qui s'étend du VTT au vélo à assistance électrique en passant par les vélos de course, les vélos tout chemin ou encore les vélos enfants et sièges bébés.",https://data.datatourisme.gouv.fr/13/86f91046-c9aa-3d41-b6f8-708e5df8ec20
Bachelas Bike Shop,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Product|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRentalShop|https://www.datatourisme.gouv.fr/ontology/core#Rental|https://www.datatourisme.gouv.fr/ontology/core#ServiceProvider|https://www.datatourisme.gouv.fr/ontology/core#Store|https://www.datatourisme.gouv.fr/ontology/core#EquipmentRental|http://schema.org/LocalBusiness|http://schema.org/Product,43.758039000000004,5.883445,Place de l'Hôtel de Ville,04800#Gréoux-les-Bains,,True,True,Office de Tourisme Communautaire Durance Luberon Verdon Agglomération,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-07-06,#+33 4 92 72 15 84<>+33 6 81 00 33 98#jauffrey.bachelas@orange.fr#https://www.bachelasbikeshop.com/,Accueil Vélo#France Vélo Tourisme,Vente - Réparation - Location de Vélos. Organisation de Séjours & Activités.,https://data.datatourisme.gouv.fr/13/cfab7c1d-0510-345d-83a6-2b397685c73e
Sortie en VAE - Le lac et le village d'Esparron-de-Verdon,https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#Practice|https://www.datatourisme.gouv.fr/ontology/core#Product|http://schema.org/Product,43.75806,5.883508999999999,Place de l'Hôtel de Ville,04800#Gréoux-les-Bains,,True,True,Office de Tourisme Communautaire Durance Luberon Verdon Agglomération,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-09-06,#+33 6 81 00 33 98##https://www.bachelasbikeshop.com/,,Vous empruntez la route pittoresque reliant Gréoux-Les-Bains à Esparron-de-Verdon en surplombant le magnifique lac.,https://data.datatourisme.gouv.fr/13/3b355a1c-ba6e-3af3-b862-e01de7f46798
