Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Geocaching - L'eau à Grillon,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.40096,4.931426999999999,Plan d'eau,84600#Grillon,,True,True,Office de Tourisme Communautaire Pays de Grignan et Enclave des Papes,Agence de Développement Touristique de la Drôme - source : Apidae Tourisme,2021-04-15,#+33 4 90 35 04 71#info@grignanvalreas-tourisme.com#http://www.grignanvalreas-tourisme.com/<>https://www.geocaching.com/geocache/GC44718_leau-a-grillon-1-le-plan-deau?guid=7d356506-d9b8-48e3-8927-f39f21f38712,,"L’eau, très présente à Grillon, vous guidera tout au long de ce parcours. 3 caches sont à découvrir.",https://data.datatourisme.gouv.fr/13/9be114e2-e3a5-30ae-87cf-4c5da39c445f
Circuit des bornes papales,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|http://purl.org/ontology/olo/core#OrderedList,44.37795,5.0247,Route de Saint Pierre,84600#Valréas,,True,True,Office de Tourisme Communautaire Pays de Grignan et Enclave des Papes,Agence de Développement Touristique de la Drôme - source : Apidae Tourisme,2021-07-15,#+33 4 90 35 04 71#info@grignanvalreas-tourisme.com#http://www.grignanvalreas-tourisme.com/,,Balade alliant découverte des paysages et du patrimoine historique. Tables de lecture.,https://data.datatourisme.gouv.fr/13/c09d3a35-0c3a-393c-9b3e-4a63d446b8e7
Sentiers et observatoires du Salin de Badon,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.483241,4.645347,Salin-de-Giraud,13200#Arles,"Passer une nuit au coeur de la Réserve nationale de Camargue c'est possible ! 

Capacité d’accueil du gîte : 20 lits répartis dans 7 chambres.
Equipement : 1 cuisine équipée, 1 salle à manger commune, 1 lavabo dans chaque chambre, 3 douches et 2 WC.
Confort rustique : pas d’eau potable, électricité solaire, chauffage, les draps et oreillers ne sont pas fournis.

Tarif :
- 12 euros la nuitée incluant l’accès aux observatoires et donnant droit au tarif réduit à la Capelière
- 6 euros pour les membres de la S.N.P.N. (adhésion 25 €/an).

Réservation et retrait de la clef à la Capelière avant 18 h (17 h en hiver) ; libération de la chambre avant 10 h le jour du départ.",True,False,Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),Provence Tourisme / Agence régionale pour la biodiversité et l'environnement Provence-Alpes-Côte d'Azur (ARBE),2020-03-16,#+33 4 90 97 00 97#reservedecamargue@espaces-naturels.fr#http://www.snpn.com/reservedecamargue,,Partez à la découverte de la Réserve nationale de Camargue avec les trois observatoires et les sentiers des Salins de Badin (accès possible sur autorisation).,https://data.datatourisme.gouv.fr/58/dc1da496-df80-392c-b447-c43fbc698dfb
"A vélo, un village insolite en Camargue",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.416335,4.7346129999999995,Salin-de-Giraud,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/a-velo-un-village-insolite-en-camargue/,,Très facile,https://data.datatourisme.gouv.fr/58/45bd79bf-2cc5-308d-8029-acb00f9aa198
"Sur les rives du Rhône, à vélo",https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.41638,4.734628,Salin-de-Giraud,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/sur-les-rives-du-rhone-a-velo/,,Très facile,https://data.datatourisme.gouv.fr/58/490eead8-8106-3ac7-90f1-7f0600fda283
Des flamants roses et du sel à vélo,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.416289,4.73516,Salin-de-Giraud,13200#Arles,,True,False,Parc Naturel Régional de Camargue,Provence Tourisme / Parc Naturel Régional de Camargue,2017-08-31,###http://www.cheminsdesparcs.fr/velo/des-flamants-roses-et-du-sel-a-velo/,,Facile,https://data.datatourisme.gouv.fr/58/178ec87c-466d-3c0b-815c-a4b04cdea648
ViaRhôna 25 - Arles > Port-St-Louis-du-Rhône,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#CyclingTour|https://www.datatourisme.gouv.fr/ontology/core#Tour|http://purl.org/ontology/olo/core#OrderedList,43.67811,4.614751999999999,Rue Jean Mathieu Artaud,13200#Arles,"Près de 130 hébergements (campings, hôtels, gîtes, chambres d'hôtes) Accueil Vélo se situent à moins de 5 km de l'itinéraire et vous garantissent des services de qualité comme un garage fermé pour votre vélo par exemple. Il est fortement recommandé de réserver en avance vos hébergements surtout dans les zones touristiques.",True,True,Auvergne-Rhône-Alpes Tourisme,Provence Tourisme / Auvergne-Rhône-Alpes Tourisme,2021-08-17,#+33 4 26 73 31 59#contactviarhona@rhonealpes-tourisme.com#https://www.viarhona.com/itineraire/25-viarhona-d-arles-a-port-st-louis-du-rhone,,"ViaRhôna, d'Arles à Port-Saint-Louis-du-Rhône.
Aux portes de la Camargue, Arles et son extraordinaire patrimoine romain invite à s'immerger dans cette ville chargée d'art et d'histoire.",https://data.datatourisme.gouv.fr/58/52ddba46-93d8-3633-b759-39a707ef5b47
Itinéraire Sur les pas de Marc Chagall,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,43.700145,7.118824000000001,Chemin Sainte-Claire,06570#Saint-Paul-de-Vence,,True,True,Office de tourisme de Saint-Paul-de-Vence,Apidae Tourisme Scic SA - source : Apidae Tourisme,2020-11-25,#+33 4 93 32 86 95#tourisme@saint-pauldevence.com#,,"De 1966 à 1985, Marc Chagall habita le village, peignant d'innombrables paysages de Saint-Paul de Vence sur le thème de l'amour : couples enlacés et amoureux brandissant d'immenses bouquets de fleurs flottant dans des atmosphères vaporeuses...",https://data.datatourisme.gouv.fr/13/2099beb5-8a22-3cd2-bdf0-9ebe31e5985b
Altaïr et la forêt musicale,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.693467999999996,5.881586,Agnières-en-Dévoluy,05250#Dévoluy,,True,True,Office de Tourisme du Dévoluy,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-06-08,#+33 4 92 58 91 91#ot@ledevoluy.com#http://www.ledevoluy.com/,,"Au cœur de la forêt d’Agnières en Dévoluy, partez sur les traces d'Altaïr et découvrez le secret de la forêt enchantée ! Jeux, énigmes, musique... tout est réuni pour profiter d’un agréable moment en famille.
Départ : Agnières en Dévoluy - devant l’Église",https://data.datatourisme.gouv.fr/13/26debcfc-5981-3e08-a38c-4f14af09da8f
Le sentier de l'art,https://www.datatourisme.gouv.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.gouv.fr/ontology/core#PointOfInterest|https://www.datatourisme.gouv.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.gouv.fr/ontology/core#Tour|https://www.datatourisme.gouv.fr/ontology/core#WalkingTour|https://www.datatourisme.gouv.fr/ontology/core#EducationalTrail|http://purl.org/ontology/olo/core#OrderedList,44.693467999999996,5.881586,Agnières-en-Dévoluy,05250#Dévoluy,,True,True,Office de Tourisme du Dévoluy,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-04-27,#+33 4 92 58 91 91#ot@ledevoluy.com#http://www.ledevoluy.com/,,"Une expérience poétique et alpine vous attend. Au fil du sentier, découvrez des sculptures sonores et du land-art. Entre nature et art, explorez la montagne autrement.",https://data.datatourisme.gouv.fr/13/4a731fd8-477f-3a9d-a8d4-5cfbfce1dbbc
